"addon"
{
	"Unassigned"      								"Unassigned Team"
	"Spectator"       								"Spectator Team"
	"Neutrals"        								"Neutral Team"
	"NoTeam"          								"No Team"

	"DOTA_GoodGuys"   								"Wind"
	"DOTA_BadGuys"    								"Sun"
	"DOTA_Custom1"    								"Flower"
	"DOTA_Custom2"    								"Food"
	"DOTA_Custom3"    								"Sky"
	"DOTA_Custom4"    								"Nature"
	"DOTA_Custom5"    								"Animal"
	"DOTA_Custom6"    								"Sea"
	"DOTA_Custom7"    								"Ground"
	"DOTA_Custom8"    								"Psychic"
	
	"addonname"										"Barebones"

	"npc_dota_hero_ancient_apparition_hype"         "Goofy can charm enemies with his clumsiness. But he has a friendly hearth and welcomes everyone."
	"npc_dota_hero_antimage_hype"					"Mario was just a simple plumber, until he decided to become a hero. Using the power of mushrooms he defeats his opponents with ease."
	"npc_dota_hero_axe_hype"                        "Midoriya-kun started with no powers, in a world dominated by heroes with superpowers. But this did not hold him back, even with no powers he has the strength and courage of a true hero. This is why All-Might decided to transfer his all for one power to midoriya."
	"npc_dota_hero_bane_hype"						"One day yagami Light found a notebook in his school. At first he thought it was a prank, but he could not believe what unimaginable powers he had attained. Together with his intellect, yagami managed to change the world"
	"npc_dota_hero_beastmaster_hype"				"The chimera is a mythical creature consisting of 3 animals, the lion, tyhe goat and the snake. United these animals for a formidal opponent"
	"npc_dota_hero_bloodseeker_hype"				"Edward Elric was born as a gifted alchemist. But one day he and his brother Alphonse did the unthinkable. They attempted human transmutation to bring their mother back. This failed horribly, Edward has seen the truth and is now able to perform transmutations without a transmutation circle."
	"npc_dota_hero_chen_hype"						"Albus Dumbledore is considered by many to be the most powerfull wizard in the world. He is the head of Hogwarts, protecting and teaching hundreds of students with his wisdom and power."
	"npc_dota_hero_crystal_maiden_hype"				"Pikachu is ash's most trustworthy companion, he has been with ash since the very beginning. He posesses great electrical power which can shock his enemies."
	"npc_dota_hero_dark_seer_hype"					"The mighty Golem was once a lonely mountain, resting in solitude. One time a powerfull magician came across his path which used his magic to breath life into the glem. Since then he has been fighting to restore balance to the earth."
	"npc_dota_hero_dazzle_hype"						"Alakazam is a powerfull psychic pokemon. He uses his powers of the mind to bring confusion to his enemies. abandoned by his trainer he now roams the earth, looking for a place to call home."
	"npc_dota_hero_dragon_knight_hype"              "Docter Nefarious Tropy, is a villain originating from the crash bandicoot universe. He has the power to control time, and like a true villain he is not afraid to use his powers in battle"
	"npc_dota_hero_doom_bringer_hype"               "R2D2 is luke's trustworthy companion. He has a full arsenal of support tools, making him a very usefull ally in sustained battles"
	"npc_dota_hero_drow_ranger_hype"                "Goku is one of the most powerfull warriors in the universe. One of the last descendants of the Saiyan race who devoted himself to protecting the inhabitants of Earth. "
	"npc_dota_hero_earthshaker_hype"				"Haunter is one of the Ghost type pokemon. His terrifying presence is enough to instill fear into the weak mined. Do not let his non-threatening appearance fool u!"
	"npc_dota_hero_enchantress_hype"				"The Cyborg is a hero all about items. He has no skills that do anything in and of themselves; they all interact with his inventory in some way. *Reverse Engineering* assimilates the active ability of one of the Cyborg’s items into one of two ability slots, making any two items' abilities essentially two of the Cyborg’s skills instead. *Efficiency* doubles the bonuses of weaker, cheaper items, giving the Cyborg extreme gold efficiency, hence the name. *Prototype* turns any Recipes in the Cyborg’s inventory into their full items for a limited time, potentially giving him a massive but short power spike. Finally, the Cyborg’s ultimate *Multicore* grants him bonus inventory slots, allowing him to accumulate even more precious items. With 10 item slots from *Multicore*, 2 additional pseudo-item-slots from *Reverse Engineering*, and remarkable utilization of his items with *Efficiency* and *Prototype*, the Cyborg is a potent core in the midgame and one of the hardest carries in DotA in the very late game, provided he can acquire the necessary items"
	"npc_dota_hero_omniknight_hype"    "Ailil is an ice elemental. He is a master of the effects of frost, capable of constricting enemy movement, while also using the cold beneficially for his allies."
	"npc_dota_hero_invoker_hype"  "The Survivor is a troublesome foe, he is very unpredictable which makes him very hard to predict correctly in battle. Be aware!"
}
